Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,7152384.21000,6919849.49000,6783641.82000,6707588.74000,6967802.15000,7499987.62000,7671984.51000,8133375.09000,8664808.63000,8973334.26000,9291606.56000,9479820.93000,9308548.95000,9349066.20000,9532753.45000,9537245.16000,9380781.18000,9394402.12000,10019268.53000,10008730.72000,9711153.74000,9129910.39000,8317958.39000,7644238.27000,2019-10-29
Sistema,Sistema,7163463.76000,6930493.30000,6785986.84000,6727381.36000,6986887.33000,7522405.62000,7643629.86000,8117493.68000,8626509.97000,8900363.49000,9250733.56000,9482388.13000,9313767.55000,9356778.45000,9504752.34000,9462692.34000,9275901.60000,9380493.22000,9999244.40000,9905998.36000,9646306.36000,9064607.71000,8327715.27000,7657210.14000,2019-10-30
Sistema,Sistema,7117930.69000,6879304.49000,6710052.76000,6699326.93000,6916422.55000,7451260.69000,7572162.86000,8099659.18000,8637366.26000,8980415.40000,9272994.75000,9487323.35000,9333990.35000,9369756.51000,9468500.09000,9346605.67000,9131494.47000,9068689.05000,9595613.17000,9388473.49000,9167908.11000,8772710.93000,8199113.16000,7652603.19000,2019-10-31
Sistema,Sistema,7115433.50000,6879708.75000,6761296.29000,6694103.51000,6884273.16000,7302930.07000,7452553.08000,7976593.77000,8531787.95000,8786131.25000,9152028.26000,9490519.72000,9308303.92000,9304886.99000,9475351.24000,9394227.93000,9198075.23000,9338980.83000,9868563.19000,9732805.72000,9441095.36000,8864751.71000,8200013.89000,7566295.23000,2019-11-01
Sistema,Sistema,7136823.05000,6859575.98000,6676654.48000,6618496.57000,6734325.76000,6867189.24000,6991905.60000,7521547.95000,8070378.33000,8424018.06000,8686830.30000,8887283.57000,8825677.49000,8710995.59000,8543784.47000,8398618.56000,8311735.42000,8530139.41000,9275866.98000,9228020.81000,8907442.84000,8450770.56000,7849622.43000,7343162.89000,2019-11-02
Sistema,Sistema,6901096.07000,6645990.72000,6443203.12000,6303638.87000,6263790.60000,6198359.16000,6128610.39000,6446643.79000,6821120.76000,7153679.83000,7444105.50000,7640600.09000,7680390.57000,7593540.34000,7497282.56000,7383802.37000,7275715.09000,7519022.00000,8369127.29000,8370381.58000,8234376.95000,7906491.08000,7430851.70000,6987968.70000,2019-11-03
Sistema,Sistema,6703175.79000,6423586.17000,6270306.43000,6180245.14000,6166734.49000,6112315.70000,6079568.45000,6510849.56000,6979791.98000,7379703.45000,7746912.75000,8060645.88000,8117449.87000,8020850.78000,7859903.74000,7701094.55000,7693218.41000,7986677.49000,8882147.07000,8972708.26000,8763997.83000,8310426.47000,7742093.87000,7223093.38000,2019-11-04
Sistema,Sistema,6796836.96000,6567351.22000,6428456.81000,6428690.99000,6711903.05000,7217742.57000,7361433.66000,7874231.57000,8403785.71000,8724830.89000,9075799.70000,9296835.41000,9101869.43000,9207825.19000,9415673.40000,9354008.62000,9229859.77000,9286473.41000,9867985.63000,9804650.85000,9507302.38000,8959682.62000,8190094.53000,7501893.17000,2019-11-05
Sistema,Sistema,7071739.69000,6836142.98000,6689435.09000,6654216.78000,6907229.61000,7409092.32000,7563927.01000,8027026.88000,8551757.40000,8888337.89000,9163911.58000,9433019.25000,9235646.86000,9321124.90000,9486772.53000,9429692.34000,9266805.56000,9338895.15000,9920252.70000,9840787.35000,9606423.69000,9080108.51000,8335397.98000,7652828.52000,2019-11-06
Sistema,Sistema,7195122.40000,6932952.21000,6759544.96000,6694703.60000,6932480.85000,7420096.68000,7595027.43000,8010944.29000,8516898.34000,8836944.37000,9178907.20000,9436006.35000,9268657.38000,9325945.73000,9527062.26000,9504243.40000,9315191.41000,9362160.03000,9992935.86000,9944659.79000,9661583.69000,9118228.52000,8375493.60000,7725083.40000,2019-11-07
Sistema,Sistema,7269137.50000,6998645.17000,6850905.23000,6779885.22000,7055857.95000,7492932.69000,7719995.48000,8220929.10000,8770174.46000,9095382.31000,9396256.90000,9660413.93000,9519627.98000,9551470.60000,9745606.06000,9746248.47000,9540760.13000,9574976.36000,10070943.36000,9958316.68000,9658957.15000,9058713.26000,8420243.90000,7833170.87000,2019-11-08
Sistema,Sistema,7382319.69000,7137560.90000,6912854.68000,6827514.45000,6876775.60000,7001902.04000,7161078.77000,7727062.44000,8305770.35000,8657120.35000,8953695.79000,9134687.02000,8990905.55000,8732816.62000,8618265.48000,8548020.78000,8421832.31000,8709036.52000,9380580.28000,9294942.45000,9026396.81000,8525835.52000,7945793.56000,7418097.90000,2019-11-09
Sistema,Sistema,7012772.33000,6751518.79000,6557034.06000,6452624.29000,6418224.66000,6332598.83000,6253577.30000,6630867.96000,7042497.67000,7375320.47000,7591409.20000,7804185.31000,7901358.12000,7858189.77000,7726040.07000,7612246.13000,7487510.54000,7806429.43000,8578631.67000,8589689.63000,8409100.08000,8079416.42000,7611563.38000,7170329.79000,2019-11-10
Sistema,Sistema,6790365.77000,6487907.98000,6292416.38000,6232267.12000,6215462.24000,6238796.83000,6171760.11000,6575156.94000,7041117.03000,7437793.61000,7786139.47000,8103580.97000,8159863.52000,8087986.38000,7985458.38000,7865147.82000,7749490.10000,8032168.55000,8862751.65000,8989036.52000,8784392.48000,8356145.48000,7813563.55000,7246240.61000,2019-11-11
Sistema,Sistema,6833006.83000,6635080.34000,6500465.07000,6476331.29000,6752608.91000,7243724.04000,7458379.18000,7934724.29000,8438602.03000,8721007.08000,9056358.90000,9234445.82000,9079171.87000,9123737.34000,9274739.73000,9279088.11000,9219820.55000,9321504.89000,9818032.32000,9735254.18000,9443403.81000,8878927.01000,8103949.68000,7459978.19000,2019-11-12
Sistema,Sistema,7023962.99000,6786468.46000,6609605.77000,6571815.15000,6835873.61000,7340905.25000,7530921.80000,7927872.21000,8382809.00000,8663087.69000,8990673.88000,9223757.44000,9064370.31000,9088358.41000,9180973.10000,9073095.53000,8965471.38000,9100031.40000,9704388.65000,9664840.82000,9388087.92000,8824913.65000,8056474.91000,7384924.31000,2019-11-13
Sistema,Sistema,6872585.47000,6556948.47000,6435890.03000,6465301.07000,6708492.54000,7236081.32000,7521311.29000,7945777.04000,8411011.18000,8668443.86000,8972637.66000,9201301.89000,9079492.43000,9157803.17000,9292546.91000,9302310.02000,9199296.41000,9290403.42000,9840434.88000,9767488.81000,9481231.79000,8939166.74000,8180743.28000,7512865.33000,2019-11-14
Sistema,Sistema,7100754.12000,6850590.79000,6669541.96000,6611558.01000,6864364.17000,7321379.88000,7531620.10000,8035821.68000,8515865.55000,8804805.91000,9166170.77000,9375017.32000,9230407.03000,9248405.87000,9366778.73000,9341854.35000,9237876.59000,9301912.83000,9806748.21000,9697681.96000,9422222.74000,8981454.65000,8349191.24000,7683105.25000,2019-11-15
Sistema,Sistema,7222932.77000,6941534.83000,6718213.13000,6647138.54000,6720003.07000,6883545.03000,7079945.44000,7636442.34000,8220558.32000,8574034.93000,8888339.80000,9071750.19000,8928684.19000,8786227.22000,8630991.97000,8446522.72000,8322593.40000,8534084.17000,9262443.41000,9191897.49000,8953627.89000,8510198.86000,7914055.99000,7413049.75000,2019-11-16
Sistema,Sistema,7006174.72000,6705702.60000,6502416.67000,6367655.46000,6353230.93000,6271964.23000,6178575.61000,6530843.13000,7004243.09000,7359061.92000,7651147.89000,7882614.87000,7943767.15000,7846003.74000,7748639.09000,7644425.80000,7507194.38000,7828704.20000,8746005.85000,8842400.45000,8658734.85000,8313830.95000,7777343.97000,7253723.27000,2019-11-17
Sistema,Sistema,6883193.62000,6650576.58000,6481566.19000,6451801.60000,6691119.36000,7104434.14000,7418790.01000,7943411.93000,8493048.87000,8817778.69000,9168522.55000,9420773.75000,9252402.47000,9290846.04000,9423824.06000,9374757.87000,9179114.48000,9291675.19000,9876316.17000,9782523.15000,9530387.81000,8926469.15000,8185361.07000,7533617.10000,2019-11-18
Sistema,Sistema,7061777.89000,6822149.91000,6658721.63000,6652844.29000,6868790.34000,7288527.23000,7575503.38000,8079493.35000,8583466.93000,8839195.22000,9136890.17000,9392798.58000,9266832.35000,9281167.44000,9455559.67000,9377290.76000,9218603.70000,9276119.89000,9847717.29000,9781748.63000,9499127.34000,8978289.32000,8193418.98000,7520532.79000,2019-11-19
Sistema,Sistema,7069317.83000,6813547.07000,6639324.85000,6615191.08000,6854923.07000,7273463.15000,7490061.63000,8034454.05000,8541415.50000,8846356.91000,9165266.42000,9416727.45000,9295740.10000,9341959.78000,9489862.52000,9421573.93000,9207284.44000,9224123.58000,9882276.76000,9798570.73000,9510128.10000,8966772.69000,8238946.20000,7584314.22000,2019-11-20
Sistema,Sistema,7129840.04000,6851406.08000,6669568.40000,6607120.37000,6707345.07000,6912237.69000,7169225.03000,7818267.43000,8343900.93000,8649976.94000,8961844.61000,9192991.41000,9100815.71000,9044432.17000,9001776.83000,8843875.76000,8568608.55000,8684600.55000,9438451.56000,9394280.15000,9048654.51000,8539782.68000,7918256.11000,7336664.84000,2019-11-21
Sistema,Sistema,6917092.51000,6675199.47000,6520217.21000,6484188.22000,6694899.87000,7047867.71000,7335589.48000,7920115.83000,8499632.63000,8848732.51000,9200627.36000,9402528.23000,9243727.66000,9229579.93000,9234472.40000,9059154.58000,8812577.46000,8830652.22000,9449375.18000,9278293.24000,9029568.94000,8524472.89000,7929104.86000,7379546.32000,2019-11-22
Sistema,Sistema,6927590.07000,6679033.99000,6506674.58000,6423564.14000,6484728.91000,6586371.83000,6755921.46000,7360780.30000,8014236.39000,8414576.58000,8745447.43000,8977317.47000,8899328.20000,8755103.31000,8602048.94000,8505314.23000,8303690.90000,8498139.24000,9253126.63000,9169528.98000,8884757.78000,8436637.04000,7904864.69000,7381654.27000,2019-11-23
Sistema,Sistema,6958837.69000,6665789.74000,6454972.76000,6326417.47000,6281819.48000,6217322.86000,6134643.77000,6512385.39000,6912312.51000,7261160.32000,7513228.67000,7770572.68000,7833803.95000,7806008.98000,7732847.62000,7658842.83000,7534214.50000,7751981.31000,8689789.86000,8751357.39000,8615504.53000,8263836.79000,7737914.22000,7193023.19000,2019-11-24
Sistema,Sistema,6843240.93000,6610066.18000,6477827.40000,6410850.53000,6632708.60000,7014691.22000,7380000.25000,8031595.59000,8622275.70000,8974906.85000,9301173.78000,9540084.64000,9480949.82000,9536300.13000,9667737.49000,9591097.45000,9379471.08000,9369856.38000,10062665.19000,10024326.25000,9767493.91000,9208641.55000,8491007.71000,7898782.05000,2019-11-25
Sistema,Sistema,7406105.27000,7110477.31000,6951420.82000,6891634.12000,7089565.04000,7491164.85000,7743307.53000,8382994.97000,8919439.75000,9191443.03000,9482627.87000,9687844.13000,9595574.17000,9610345.67000,9729459.89000,9720328.43000,9527112.38000,9486305.01000,10133862.64000,10074893.32000,9794390.99000,9255023.88000,8565214.75000,7891241.13000,2019-11-26
Sistema,Sistema,7399922.47000,7169189.22000,6999387.93000,6951149.59000,7168060.91000,7477625.87000,7774118.70000,8432745.12000,8960601.23000,9223478.34000,9547837.29000,9796966.84000,9647448.21000,9691907.73000,9849808.03000,9752532.25000,9501792.71000,9593479.35000,10295932.23000,10228876.46000,9943328.82000,9368391.93000,8561096.74000,8006372.92000,2019-11-27
Sistema,Sistema,7525230.33000,7295670.35000,7107356.07000,7064314.57000,7250553.14000,7572739.12000,7869604.05000,8469108.47000,8998264.48000,9298655.44000,9626249.37000,9851505.63000,9725503.01000,9755660.27000,9853897.14000,9835559.52000,9590386.48000,9607582.22000,10285843.43000,10182149.15000,9912204.71000,9429188.48000,8700634.24000,8038469.15000,2019-11-28
Sistema,Sistema,7525540.15000,7269909.12000,7084810.30000,6989628.71000,7169321.75000,7486545.09000,7727969.46000,8299169.26000,8825770.38000,9118697.32000,9383734.20000,9603357.70000,9512660.89000,9524774.99000,9574580.00000,9449508.30000,9266909.74000,9390528.67000,9941927.87000,9805199.18000,9527897.87000,9051316.41000,8437090.94000,7890327.96000,2019-11-29
Sistema,Sistema,7432205.51000,7129419.52000,6938621.52000,6852748.90000,6935224.22000,7094079.11000,7243703.04000,7836752.52000,8380675.22000,8709235.47000,8964045.30000,9103877.15000,9001056.54000,8817258.27000,8677181.04000,8555545.34000,8393648.61000,8580926.49000,9371404.95000,9370192.80000,9124319.45000,8669194.42000,8127755.95000,7632637.57000,2019-11-30
Sistema,Sistema,7159653.99000,6884422.54000,6664179.79000,6534579.37000,6479055.69000,6459957.62000,6330597.78000,6631848.73000,6991609.27000,7321039.51000,7578212.01000,7805355.82000,7926332.90000,7902174.08000,7806385.50000,7744153.71000,7675671.87000,7892096.56000,8905775.70000,8984733.91000,8879079.68000,8553728.10000,8065037.09000,7561142.30000,2019-12-01
Sistema,Sistema,7144081.97000,6880715.89000,6723491.60000,6676495.78000,6864210.33000,7147669.31000,7396258.43000,8031357.33000,8651198.72000,8980464.26000,9318521.81000,9564478.11000,9432871.35000,9436160.90000,9598944.22000,9563240.90000,9401030.55000,9362799.72000,10097055.02000,10092068.45000,9864794.24000,9358334.96000,8645557.66000,7989693.27000,2019-12-02
Sistema,Sistema,7492251.64000,7224266.36000,7037966.51000,6969963.54000,7148453.95000,7475403.04000,7746149.40000,8321762.61000,8885169.57000,9182724.55000,9513395.26000,9742544.24000,9615852.97000,9611789.79000,9744533.77000,9685149.02000,9509863.88000,9555597.39000,10153897.18000,10111097.41000,9877188.32000,9396303.26000,8668005.11000,7988850.66000,2019-12-03
Sistema,Sistema,7488790.90000,7204230.34000,7064224.95000,6974252.84000,7166661.54000,7463837.56000,7708293.80000,8266692.21000,8825161.62000,9143514.10000,9482029.42000,9762439.92000,9650673.08000,9558992.33000,9687221.44000,9647468.58000,9419507.40000,9434410.77000,10088846.32000,10042923.60000,9788797.35000,9275001.21000,8544965.26000,7937830.19000,2019-12-04
Sistema,Sistema,7413790.62000,7158080.58000,7005729.95000,6966616.50000,7126550.64000,7432977.22000,7711982.25000,8306278.23000,8861678.42000,9153392.80000,9476128.19000,9688790.37000,9582539.69000,9605626.20000,9800993.87000,9805657.40000,9646156.83000,9627155.82000,10239431.06000,10189835.02000,9926969.79000,9403902.81000,8721729.88000,8089399.59000,2019-12-05
Sistema,Sistema,7594043.35000,7316657.18000,7106026.59000,7049757.15000,7206343.34000,7496251.20000,7742747.04000,8330952.43000,8913716.26000,9233743.01000,9538176.56000,9781290.67000,9643421.02000,9674789.66000,9792014.85000,9786857.91000,9595863.32000,9540672.00000,10170574.81000,10059838.44000,9785423.05000,9309196.05000,8687718.55000,8083288.91000,2019-12-06
Sistema,Sistema,7601406.15000,7305237.73000,7108513.68000,7010216.61000,7099203.07000,7233616.04000,7333571.19000,7847602.59000,8397029.72000,8730351.87000,9013246.02000,9192450.44000,9075955.60000,8893866.96000,8733774.37000,8630252.14000,8518421.98000,8701288.16000,9407912.96000,9137369.73000,8730510.52000,8300888.55000,7849829.97000,7425515.60000,2019-12-07
