date,aportes_kwh
2021-01-30,63417100.0
2021-01-31,59110400.0
2021-02-01,63613700.0
2021-02-02,76721900.0
2021-02-03,72099200.0
2021-02-04,67104300.0
2021-02-05,93256200.0
2021-02-06,79874800.0
2021-02-07,63448100.0
2021-02-08,68338600.0
2021-02-09,95009700.0
2021-02-10,103057000.0
2021-02-11,86800200.0
2021-02-12,80753500.0
2021-02-13,77298000.0
2021-02-14,71545200.0
2021-02-15,90637800.0
2021-02-16,68827100.0
2021-02-17,70141100.0
2021-02-18,77605500.0
2021-02-19,95217600.0
2021-02-20,87289900.0
2021-02-21,94798300.0
2021-02-22,104986900.0
2021-02-23,94829100.0
2021-02-24,85309800.0
2021-02-25,125429700.0
2021-02-26,146257200.0
2021-02-27,145644200.0
2021-02-28,121691900.0
2021-03-01,124888000.0
2021-03-02,152607600.0
2021-03-03,142934100.0
2021-03-04,122691400.0
2021-03-05,132537300.0
2021-03-06,110991100.0
2021-03-07,157203100.0
2021-03-08,220368900.0
2021-03-09,130314900.0
2021-03-10,138726900.0
2021-03-11,130905300.0
2021-03-12,186183200.0
2021-03-13,188023900.0
2021-03-14,154374800.0
2021-03-15,186588400.0
2021-03-16,240826900.0
2021-03-17,223747000.0
2021-03-18,284712000.0
2021-03-19,238723600.0
2021-03-20,258157300.0
2021-03-21,226947200.0
2021-03-22,228389300.0
2021-03-23,191603000.0
2021-03-24,262208400.0
2021-03-25,176126900.0
2021-03-26,209585200.0
2021-03-27,221096900.0
2021-03-28,160840900.0
2021-03-29,181057100.0
2021-03-30,235340100.0
2021-03-31,185224100.0
2021-04-01,165142600.0
2021-04-02,147127400.0
2021-04-03,186739900.0
2021-04-04,186127500.0
2021-04-05,210868100.0
2021-04-06,248188300.0
2021-04-07,180791500.0
2021-04-08,171802300.0
2021-04-09,274840300.0
2021-04-10,178109100.0
2021-04-11,164436400.0
2021-04-12,320440300.0
2021-04-13,172922800.0
2021-04-14,153852400.0
2021-04-15,179066500.0
2021-04-16,176952600.0
2021-04-17,214545900.0
2021-04-18,176192000.0
2021-04-19,155951100.0
2021-04-20,121863600.0
2021-04-21,131160900.0
2021-04-22,118236500.0
2021-04-23,151982200.0
2021-04-24,142221300.0
2021-04-25,115081200.0
2021-04-26,124914300.0
2021-04-27,181931800.0
2021-04-28,184193000.0
2021-04-29,255185500.0
2021-04-30,394116500.0
2021-05-01,238794500.0
2021-05-02,318338200.0
2021-05-03,413002500.0
2021-05-04,389111200.0
2021-05-05,373481000.0
2021-05-06,310874800.0
2021-05-07,315277400.0
2021-05-08,344730700.0
2021-05-09,324538400.0
2021-05-10,423027300.0
2021-05-11,290984000.0
2021-05-12,258973700.0
2021-05-13,251796600.0
2021-05-14,213505300.0
2021-05-15,223701600.0
2021-05-16,277293800.0
2021-05-17,415210700.0
2021-05-18,416804000.0
2021-05-19,260360700.0
2021-05-20,200318600.0
2021-05-21,169094200.0
2021-05-22,210799000.0
2021-05-23,248160800.0
2021-05-24,241125800.0
2021-05-25,379451700.0
2021-05-26,310165600.0
2021-05-27,276601500.0
2021-05-28,228624300.0
2021-05-29,265452400.0
